review,rating,support
tick tock is the best ever app that you can make it's so funny and you can even make short little videos that can even make funny and people can like it and follow you to that's the best app I'm just saying if people don't like it fine with me but TikTok is amazing!!!!,5,82
"I'm so mad!! When I was in elementary school I made tik toks all the time and now that I'm a high schooler I decided to try and log into my old account that had really memorable stuff on there, such as my dog that passed away last year, my baby brother as a new born, and some of my old BFF's. I even...Full ReviewI'm so mad!! When I was in elementary school I made tik toks all the time and now that I'm a high schooler I decided to try and log into my old account that had really memorable stuff on there, such as my dog that passed away last year, my baby brother as a new born, and some of my old BFF's. I eventually logged in and it decided to delete all of my tik toks! I'm so upset because it didnt save any! They ment alot to me. It was my childhood...😥",1,1483
"I like this app it's cool but I just don't like when you save your videos in your drafts and everytime you click on one then you have to go back to the start, that's super annoying for me and I hope it changes because it's just waste of time (no offense). It would be better if you just had to swipe ...Full ReviewI like this app it's cool but I just don't like when you save your videos in your drafts and everytime you click on one then you have to go back to the start, that's super annoying for me and I hope it changes because it's just waste of time (no offense). It would be better if you just had to swipe up for them like when you post a video. But the good thing is that you can do the drafts without wifi and that's the BEST thing about that app so I love it. But however a great app.",5,760
I cant believe this is what people watch now days. so inspiring with guys running their hands through their hair or showing off their body or stupid trends that make no sense at all and music that sounds like me farting into a garbage bag. This is what the world is now. thank you tik tok for making ...Full ReviewI cant believe this is what people watch now days. so inspiring with guys running their hands through their hair or showing off their body or stupid trends that make no sense at all and music that sounds like me farting into a garbage bag. This is what the world is now. thank you tik tok for making it a more stupid place to live in. absolutely disgusting on all levels. I guess I should blame the generation for making this app popular. Shows how dumb we are.,1,171
"The new vine! Overall I love this app. Fun, addicting, great user experience. One bit of feedback about the new update. The new effects set up is awful. Much harder to tell which effect is which. The new slider makes it next to impossible to get the effects timed in the right spot, to see where it's...Full ReviewThe new vine! Overall I love this app. Fun, addicting, great user experience. One bit of feedback about the new update. The new effects set up is awful. Much harder to tell which effect is which. The new slider makes it next to impossible to get the effects timed in the right spot, to see where it's at in the time line & the effects are now laggy & glitchy in the video which kind of ruins your vid & makes them not worth the hassle",4,359
MAKE THIS APP BETTER ITS NOT THAT HARD.I love this app but I cant watch a long video without it pausing in the middle of it then I have to watch it like 7 times to fully see. I'm on the verge of deleting this app. EVERY TIME I WATCH A VIDEO THAN 5 SECONDS IT OAUSES AND I HAVEN'T BEEN ABLE TO SEE THE...Full ReviewMAKE THIS APP BETTER ITS NOT THAT HARD.I love this app but I cant watch a long video without it pausing in the middle of it then I have to watch it like 7 times to fully see. I'm on the verge of deleting this app. EVERY TIME I WATCH A VIDEO THAN 5 SECONDS IT OAUSES AND I HAVEN'T BEEN ABLE TO SEE THE FULL VIDEO.,1,95
"I like tik tok because you find funny videos, but I'm really upset with it now because I am trying to make a new acount with a email but it won't let me put in a code, whenever I try, It says ""You're visiting our service to frequently"" Which honestly makes no sense. I used to really like this app bu...Full ReviewI like tik tok because you find funny videos, but I'm really upset with it now because I am trying to make a new acount with a email but it won't let me put in a code, whenever I try, It says ""You're visiting our service to frequently"" Which honestly makes no sense. I used to really like this app but now I'm really upset with it.",2,9
"Really good except that I cant make a group chat for me and my friends. In fact I don't think that i can make a group chat at all so how can you text more than one person at once. That is what I want to know. Other than that, it is an amazing app and only one of my friends agreed to make a group cha...Full ReviewReally good except that I cant make a group chat for me and my friends. In fact I don't think that i can make a group chat at all so how can you text more than one person at once. That is what I want to know. Other than that, it is an amazing app and only one of my friends agreed to make a group chat anyway so it doesn't matter, but just in case more of my friends agree, make sure that you inform me on how to make tik tok group chats.",5,704
Since the new update I can not get on tik tok at all. It keeps giving me connection errors and unstable network errors. I have checked my connections/networks and all is functioning properly. I have deleted and reinstalled the app and that didn't work. I am disgruntled that I am having such difficul...Full ReviewSince the new update I can not get on tik tok at all. It keeps giving me connection errors and unstable network errors. I have checked my connections/networks and all is functioning properly. I have deleted and reinstalled the app and that didn't work. I am disgruntled that I am having such difficulty getting on the app since this latest update! Fix the problem and I will revise my review and give a better star rating.,2,560
"WHAT HAPPENED??!?!!?! So, I was on tik tok and because i didn't have access to some filters, i decided to re-install this app to have them. I REGRET THAT DECISION. I re-installed Tik Tok and wanted to try the filters on, so i went to create a video and it said will you allow access to camera, ect, a...Full ReviewWHAT HAPPENED??!?!!?! So, I was on tik tok and because i didn't have access to some filters, i decided to re-install this app to have them. I REGRET THAT DECISION. I re-installed Tik Tok and wanted to try the filters on, so i went to create a video and it said will you allow access to camera, ect, and then RIGHT after i granted permission for all that stuff, it said unable to record video! It said that i haven't granted those permissions and that i have to 'quit' apps which were in use!",1,579
Not really sure what I think. I first downloaded your app and when I accepted for you guys to allow to record audio and video and have access to my files. Your app size grew to over 700mb. I deleted the app. I redownloaded the app and haven't given you access to the files or video yet and your size ...Full ReviewNot really sure what I think. I first downloaded your app and when I accepted for you guys to allow to record audio and video and have access to my files. Your app size grew to over 700mb. I deleted the app. I redownloaded the app and haven't given you access to the files or video yet and your size has stayed the same. Why???,2,94
everything is usually good but I think Tik Tok needs to improve on faster quality posting a lot of people say it's the type of phone I have but I believe there's a glitch because I've been using the same phone for a long time and it's still isn't posting right and it used to so I think there's a gli...Full Revieweverything is usually good but I think Tik Tok needs to improve on faster quality posting a lot of people say it's the type of phone I have but I believe there's a glitch because I've been using the same phone for a long time and it's still isn't posting right and it used to so I think there's a glitch. But other than that it's all good but there is one more thing people get reported but they don't always have their videos taken down when they need to be,3,107
"I am an heart patient tiktok made my heart till more young. I feel i will live till 100 yrs or if i leave this world early, these videos make my family to feel iam still alive & iam with them. Thank you so much Tiktok I love you....... only one feeling i give my 100% by making my vedios but my views...Full ReviewI am an heart patient tiktok made my heart till more young. I feel i will live till 100 yrs or if i leave this world early, these videos make my family to feel iam still alive & iam with them. Thank you so much Tiktok I love you....... only one feeling i give my 100% by making my vedios but my views are very less its not crosing 300 except 2 or 3 videos. plz look in to it.",5,351
I used to love this app and I hope y'all read this.... When I was on this app it kicked me off and deletes my page .. which is (princess_amiriha) and it also kicked my twin off and deleted her page. I hate this app so unless u can give me back my pw and page I will keep rating and writing bad report...Full ReviewI used to love this app and I hope y'all read this.... When I was on this app it kicked me off and deletes my page .. which is (princess_amiriha) and it also kicked my twin off and deleted her page. I hate this app so unless u can give me back my pw and page I will keep rating and writing bad reports,1,28
It's an AWESOME app.....I love it. I make alot of cool video's. It's really fun.......but for some reason it doesn't want to work on a chinese phone. I translated the entire phone into English and downloaded the English Tik Tok but it still doesn't want to work. If there is a way that it can work pl...Full ReviewIt's an AWESOME app.....I love it. I make alot of cool video's. It's really fun.......but for some reason it doesn't want to work on a chinese phone. I translated the entire phone into English and downloaded the English Tik Tok but it still doesn't want to work. If there is a way that it can work please tell me.🙏😂,4,0
"I downloaded this as I found out my younger sister was using it and wanted to check up. this site puts no safety measures for children in fact quite the opposite, she was a nine year old girl posting inappropriate and provocative content and there were grown men (alot of them) following her and view...Full ReviewI downloaded this as I found out my younger sister was using it and wanted to check up. this site puts no safety measures for children in fact quite the opposite, she was a nine year old girl posting inappropriate and provocative content and there were grown men (alot of them) following her and viewing this it took them a while before finally replying and removing the account at my request. tik tok you should require proof of age ,this site attracts sexual predators.",1,324
wow this is a bad app this app can be so popular but the fact they control everything you do and the app barely work is why it has such a negative review. if I could give it minus -5 I would and why T.F. you limited followers and likes. I guess it's all about control,1,502
"Hi! I personally think tiktok is great but one time i updated it and my app restarted and i just wanted to log in my old account so i went ahead and tried but it asks me for my birthday and i was like: oh ok no problem.... Then when i put in my birthday it says that im not old enough! Even i try to ...Full ReviewHi! I personally think tiktok is great but one time i updated it and my app restarted and i just wanted to log in my old account so i went ahead and tried but it asks me for my birthday and i was like: oh ok no problem.... Then when i put in my birthday it says that im not old enough! Even i try to turn the year to like 1974, im still not old enough! I hope you can fix this bug. I love tiktok but this is just bad for me😔😔",1,98
